"X.","X0","X1","X0.1","X1.1","X0.2","X1.2"
"  Black","3 (7.7%)","3 (9.1%)","7 (9.2%)","3 (8.8%)","10 (8.7%)","6 (9.0%)"
"  Indian/Asian","3 (7.7%)","3 (9.1%)","7 (9.2%)","1 (2.9%)","10 (8.7%)","4 (6.0%)"
"  Other","4 (10.3%)","2 (6.1%)","14 (18.4%)","6 (17.6%)","18 (15.7%)","8 (11.9%)"
"  Unknown","2 (5.1%)","7 (21.2%)","0 (0%)","0 (0%)","2 (1.7%)","7 (10.4%)"
"Height (cm)","","","","","",""
"  Mean (SD)","169 (12.7)","170 (12.4)","169 (10.0)","167 (10.7)","169 (11.0)","168 (11.6)"
"  Median [Min, Max]","168 [142, 198]","168 [142, 193]","170 [145, 191]","165 [150, 191]","168 [142, 198]","168 [142, 193]"
"Weight (kg)","","","","","",""
"  Mean (SD)","80.5 (24.5)","85.7 (22.6)","90.6 (30.8)","88.8 (22.0)","87.2 (29.1)","87.3 (22.2)"
"  Median [Min, Max]","73.1 [48.0, 134]","89.4 [45.4, 141]","86.0 [42.0, 217]","84.8 [45.2, 154]","82.3 [42.0, 217]","84.9 [45.2, 154]"
"BMI","","","","","",""
"  Mean (SD)","27.8 (6.97)","29.5 (6.49)","31.5 (9.87)","31.9 (7.35)","30.3 (9.13)","30.7 (6.99)"
"  Median [Min, Max]","25.8 [18.9, 47.7]","29.1 [16.7, 43.9]","29.0 [20.0, 71.6]","31.6 [19.5, 50.7]","28.0 [18.9, 71.6]","29.8 [16.7, 50.7]"
"If BMI ?30 Obesity Class (I,II,III)","","","","","",""
"  I","11 (28.2%)","8 (24.2%)","13 (17.1%)","11 (32.4%)","24 (20.9%)","19 (28.4%)"
"  II","3 (7.7%)","4 (12.1%)","10 (13.2%)","5 (14.7%)","13 (11.3%)","9 (13.4%)"
"  III","2 (5.1%)","2 (6.1%)","9 (11.8%)","3 (8.8%)","11 (9.6%)","5 (7.5%)"
"  Missing","23 (59.0%)","19 (57.6%)","44 (57.9%)","15 (44.1%)","67 (58.3%)","34 (50.7%)"
"Vaccinated","","","","","",""
"  No","2 (5.1%)","5 (15.2%)","69 (90.8%)","25 (73.5%)","71 (61.7%)","30 (44.8%)"
"  Yes","33 (84.6%)","24 (72.7%)","7 (9.2%)","9 (26.5%)","40 (34.8%)","33 (49.3%)"
"  Unknown","4 (10.3%)","4 (12.1%)","0 (0%)","0 (0%)","4 (3.5%)","4 (6.0%)"
"Dose #1","","","","","",""
"  No","2 (5.1%)","5 (15.2%)","69 (90.8%)","26 (76.5%)","71 (61.7%)","31 (46.3%)"
"  Yes","33 (84.6%)","24 (72.7%)","7 (9.2%)","8 (23.5%)","40 (34.8%)","32 (47.8%)"
"  Unknown","4 (10.3%)","4 (12.1%)","0 (0%)","0 (0%)","4 (3.5%)","4 (6.0%)"
"Dose #2","","","","","",""
"  No","7 (17.9%)","8 (24.2%)","74 (97.4%)","32 (94.1%)","81 (70.4%)","40 (59.7%)"
"  Yes","27 (69.2%)","18 (54.5%)","2 (2.6%)","2 (5.9%)","29 (25.2%)","20 (29.9%)"
"  Unknown","5 (12.8%)","7 (21.2%)","0 (0%)","0 (0%)","5 (4.3%)","7 (10.4%)"
"Booster","","","","","",""
"  No","12 (30.8%)","14 (42.4%)","75 (98.7%)","34 (100%)","87 (75.7%)","48 (71.6%)"
"  Yes","20 (51.3%)","12 (36.4%)","1 (1.3%)","0 (0%)","21 (18.3%)","12 (17.9%)"
"  Unknown","7 (17.9%)","7 (21.2%)","0 (0%)","0 (0%)","7 (6.1%)","7 (10.4%)"
"Critical Care","","","","","",""
"  0","25 (64.1%)","27 (81.8%)","70 (92.1%)","27 (79.4%)","95 (82.6%)","54 (80.6%)"
"  1","14 (35.9%)","6 (18.2%)","6 (7.9%)","7 (20.6%)","20 (17.4%)","13 (19.4%)"
"ICU LOS","","","","","",""
"  Mean (SD)","2.90 (7.36)","1.55 (4.40)","0.553 (2.50)","2.91 (8.60)","1.35 (4.84)","2.24 (6.84)"
"  Median [Min, Max]","0 [0, 43.0]","0 [0, 20.0]","0 [0, 19.0]","0 [0, 47.0]","0 [0, 43.0]","0 [0, 47.0]"
"LOS","","","","","",""
"  Mean (SD)","8.21 (9.80)","9.48 (8.61)","6.70 (7.91)","8.71 (11.1)","7.21 (8.58)","9.09 (9.89)"
"  Median [Min, Max]","4.00 [0, 46.0]","6.00 [0, 34.0]","4.00 [0, 41.0]","4.00 [0, 53.0]","4.00 [0, 46.0]","6.00 [0, 53.0]"
"Expired","","","","","",""
"  0","37 (94.9%)","32 (97.0%)","70 (92.1%)","28 (82.4%)","107 (93.0%)","60 (89.6%)"
"  1","2 (5.1%)","1 (3.0%)","6 (7.9%)","6 (17.6%)","8 (7.0%)","7 (10.4%)"
"Wave","","","","","",""
"  1","0 (0%)","0 (0%)","7 (9.2%)","1 (2.9%)","7 (6.1%)","1 (1.5%)"
"  2","0 (0%)","0 (0%)","27 (35.5%)","12 (35.3%)","27 (23.5%)","12 (17.9%)"
"  3","0 (0%)","0 (0%)","42 (55.3%)","21 (61.8%)","42 (36.5%)","21 (31.3%)"
"  4","39 (100%)","33 (100%)","0 (0%)","0 (0%)","39 (33.9%)","33 (49.3%)"
"Smoking History (0,1,2)","","","","","",""
"  Current","17 (43.6%)","14 (42.4%)","2 (2.6%)","2 (5.9%)","19 (16.5%)","16 (23.9%)"
"  Former","5 (12.8%)","6 (18.2%)","13 (17.1%)","9 (26.5%)","18 (15.7%)","15 (22.4%)"
"  Never","17 (43.6%)","13 (39.4%)","60 (78.9%)","23 (67.6%)","77 (67.0%)","36 (53.7%)"
"  Missing","0 (0%)","0 (0%)","1 (1.3%)","0 (0%)","1 (0.9%)","0 (0%)"
"CCI","","","","","",""
"  Mean (SD)","5.26 (3.82)","6.39 (3.79)","2.22 (1.87)","4.24 (2.43)","3.25 (3.04)","5.30 (3.33)"
"  Median [Min, Max]","5.00 [0, 14.0]","6.00 [1.00, 18.0]","2.00 [0, 7.00]","3.50 [1.00, 9.00]","3.00 [0, 14.0]","5.00 [1.00, 18.0]"
"Age_Category","","","","","",""
"  0","7 (17.9%)","6 (18.2%)","16 (21.1%)","3 (8.8%)","23 (20.0%)","9 (13.4%)"
"  1","4 (10.3%)","2 (6.1%)","18 (23.7%)","8 (23.5%)","22 (19.1%)","10 (14.9%)"
"  2","5 (12.8%)","12 (36.4%)","18 (23.7%)","7 (20.6%)","23 (20.0%)","19 (28.4%)"
"  3","14 (35.9%)","9 (27.3%)","13 (17.1%)","9 (26.5%)","27 (23.5%)","18 (26.9%)"
"  4","9 (23.1%)","4 (12.1%)","11 (14.5%)","7 (20.6%)","20 (17.4%)","11 (16.4%)"
"MI","","","","","",""
"  0","33 (84.6%)","28 (84.8%)","76 (100%)","33 (97.1%)","109 (94.8%)","61 (91.0%)"
"  1","6 (15.4%)","5 (15.2%)","0 (0%)","1 (2.9%)","6 (5.2%)","6 (9.0%)"
"HF","","","","","",""
"  0","27 (69.2%)","27 (81.8%)","75 (98.7%)","29 (85.3%)","102 (88.7%)","56 (83.6%)"
"  1","12 (30.8%)","6 (18.2%)","1 (1.3%)","5 (14.7%)","13 (11.3%)","11 (16.4%)"
"PVD","","","","","",""
"  0","37 (94.9%)","31 (93.9%)","75 (98.7%)","33 (97.1%)","112 (97.4%)","64 (95.5%)"
"  1","2 (5.1%)","2 (6.1%)","1 (1.3%)","1 (2.9%)","3 (2.6%)","3 (4.5%)"
"CVD","","","","","",""
"  0","30 (76.9%)","23 (69.7%)","74 (97.4%)","33 (97.1%)","104 (90.4%)","56 (83.6%)"
"  1","9 (23.1%)","10 (30.3%)","2 (2.6%)","1 (2.9%)","11 (9.6%)","11 (16.4%)"
"Dementia","","","","","",""
"  0","37 (94.9%)","31 (93.9%)","70 (92.1%)","29 (85.3%)","107 (93.0%)","60 (89.6%)"
"  1","2 (5.1%)","2 (6.1%)","6 (7.9%)","5 (14.7%)","8 (7.0%)","7 (10.4%)"
"COPD","","","","","",""
"  0","34 (87.2%)","27 (81.8%)","67 (88.2%)","29 (85.3%)","101 (87.8%)","56 (83.6%)"
"  1","5 (12.8%)","6 (18.2%)","9 (11.8%)","5 (14.7%)","14 (12.2%)","11 (16.4%)"
"Rheum/ CONNECTIVE TISSUE DISEASE","","","","","",""
"  0","37 (94.9%)","32 (97.0%)","75 (98.7%)","34 (100%)","112 (97.4%)","66 (98.5%)"
"  1","2 (5.1%)","1 (3.0%)","1 (1.3%)","0 (0%)","3 (2.6%)","1 (1.5%)"
"PUD","","","","","",""
"  0","37 (94.9%)","32 (97.0%)","76 (100%)","34 (100%)","113 (98.3%)","66 (98.5%)"
"  1","2 (5.1%)","1 (3.0%)","0 (0%)","0 (0%)","2 (1.7%)","1 (1.5%)"
"mliverd","","","","","",""
"  0","37 (94.9%)","33 (100%)","76 (100%)","32 (94.1%)","113 (98.3%)","65 (97.0%)"
"  1","2 (5.1%)","0 (0%)","0 (0%)","2 (5.9%)","2 (1.7%)","2 (3.0%)"
"DiabNC","","","","","",""
"  0","38 (97.4%)","7 (21.2%)","76 (100%)","11 (32.4%)","114 (99.1%)","18 (26.9%)"
"  1","1 (2.6%)","26 (78.8%)","0 (0%)","23 (67.6%)","1 (0.9%)","49 (73.1%)"
"DiabC","","","","","",""
"  0","38 (97.4%)","7 (21.2%)","76 (100%)","11 (32.4%)","114 (99.1%)","18 (26.9%)"
"  1","1 (2.6%)","26 (78.8%)","0 (0%)","23 (67.6%)","1 (0.9%)","49 (73.1%)"
"Hemoplegia","","","","","",""
"  0","38 (97.4%)","30 (90.9%)","76 (100%)","34 (100%)","114 (99.1%)","64 (95.5%)"
"  1","1 (2.6%)","3 (9.1%)","0 (0%)","0 (0%)","1 (0.9%)","3 (4.5%)"
"RenalD","","","","","",""
"  0","34 (87.2%)","22 (66.7%)","72 (94.7%)","29 (85.3%)","106 (92.2%)","51 (76.1%)"
"  1","5 (12.8%)","11 (33.3%)","4 (5.3%)","5 (14.7%)","9 (7.8%)","16 (23.9%)"
"Cancer","","","","","",""
"  0","34 (87.2%)","29 (87.9%)","75 (98.7%)","30 (88.2%)","109 (94.8%)","59 (88.1%)"
"  1","5 (12.8%)","4 (12.1%)","0 (0%)","0 (0%)","5 (4.3%)","4 (6.0%)"
"  2","0 (0%)","0 (0%)","1 (1.3%)","4 (11.8%)","1 (0.9%)","4 (6.0%)"
"msliver","","","","","",""
"  0","37 (94.9%)","32 (97.0%)","76 (100%)","34 (100%)","113 (98.3%)","66 (98.5%)"
"  1","2 (5.1%)","1 (3.0%)","0 (0%)","0 (0%)","2 (1.7%)","1 (1.5%)"
"MetaCancer","","","","","",""
"  0","33 (84.6%)","28 (84.8%)","76 (100%)","34 (100%)","109 (94.8%)","62 (92.5%)"
"  1","6 (15.4%)","5 (15.2%)","0 (0%)","0 (0%)","6 (5.2%)","5 (7.5%)"
"AIDS","","","","","",""
"  0","38 (97.4%)","32 (97.0%)","76 (100%)","34 (100%)","114 (99.1%)","66 (98.5%)"
"  1","1 (2.6%)","0 (0%)","0 (0%)","0 (0%)","1 (0.9%)","0 (0%)"
"  Missing","0 (0%)","1 (3.0%)","0 (0%)","0 (0%)","0 (0%)","1 (1.5%)"
"HTN","","","","","",""
"  0","13 (33.3%)","7 (21.2%)","37 (48.7%)","4 (11.8%)","50 (43.5%)","11 (16.4%)"
"  1","26 (66.7%)","26 (78.8%)","39 (51.3%)","30 (88.2%)","65 (56.5%)","56 (83.6%)"
"Obese","","","","","",""
"  0","23 (59.0%)","18 (54.5%)","43 (56.6%)","15 (44.1%)","66 (57.4%)","33 (49.3%)"
"  1","16 (41.0%)","15 (45.5%)","33 (43.4%)","19 (55.9%)","49 (42.6%)","34 (50.7%)"
"tocilizumab","","","","","",""
"  0","39 (100%)","33 (100%)","70 (92.1%)","28 (82.4%)","109 (94.8%)","61 (91.0%)"
"  1","0 (0%)","0 (0%)","6 (7.9%)","6 (17.6%)","6 (5.2%)","6 (9.0%)"
"remdesivir","","","","","",""
"  0","39 (100%)","33 (100%)","21 (27.6%)","8 (23.5%)","60 (52.2%)","41 (61.2%)"
"  1","0 (0%)","0 (0%)","55 (72.4%)","26 (76.5%)","55 (47.8%)","26 (38.8%)"
"dexamethasone","","","","","",""
"  0","33 (84.6%)","29 (87.9%)","18 (23.7%)","7 (20.6%)","51 (44.3%)","36 (53.7%)"
"  1","6 (15.4%)","4 (12.1%)","58 (76.3%)","27 (79.4%)","64 (55.7%)","31 (46.3%)"
"methylprednisolone","","","","","",""
"  0","34 (87.2%)","30 (90.9%)","73 (96.1%)","32 (94.1%)","107 (93.0%)","62 (92.5%)"
"  1","5 (12.8%)","3 (9.1%)","3 (3.9%)","2 (5.9%)","8 (7.0%)","5 (7.5%)"
"prednisone","","","","","",""
"  0","31 (79.5%)","32 (97.0%)","75 (98.7%)","34 (100%)","106 (92.2%)","66 (98.5%)"
"  1","8 (20.5%)","1 (3.0%)","1 (1.3%)","0 (0%)","9 (7.8%)","1 (1.5%)"
"hydrocortisone","","","","","",""
"  0","39 (100%)","33 (100%)","75 (98.7%)","31 (91.2%)","114 (99.1%)","64 (95.5%)"
"  1","0 (0%)","0 (0%)","1 (1.3%)","3 (8.8%)","1 (0.9%)","3 (4.5%)"
"azithromycin","","","","","",""
"  0","36 (92.3%)","32 (97.0%)","71 (93.4%)","34 (100%)","107 (93.0%)","66 (98.5%)"
"  1","3 (7.7%)","1 (3.0%)","5 (6.6%)","0 (0%)","8 (7.0%)","1 (1.5%)"
"hydroxychloroquine","","","","","",""
"  0","38 (97.4%)","32 (97.0%)","69 (90.8%)","33 (97.1%)","107 (93.0%)","65 (97.0%)"
"  1","1 (2.6%)","1 (3.0%)","7 (9.2%)","1 (2.9%)","8 (7.0%)","2 (3.0%)"
"regeneron","","","","","",""
"  0","39 (100%)","33 (100%)","75 (98.7%)","33 (97.1%)","114 (99.1%)","66 (98.5%)"
"  1","0 (0%)","0 (0%)","1 (1.3%)","1 (2.9%)","1 (0.9%)","1 (1.5%)"
"ACEis","","","","","",""
"  0","37 (94.9%)","25 (75.8%)","70 (92.1%)","27 (79.4%)","107 (93.0%)","52 (77.6%)"
"  1","2 (5.1%)","8 (24.2%)","6 (7.9%)","7 (20.6%)","8 (7.0%)","15 (22.4%)"
"ARBs","","","","","",""
"  0","32 (82.1%)","27 (81.8%)","67 (88.2%)","29 (85.3%)","99 (86.1%)","56 (83.6%)"
"  1","7 (17.9%)","6 (18.2%)","9 (11.8%)","5 (14.7%)","16 (13.9%)","11 (16.4%)"
"ARNIs","","","","","",""
"  0","37 (94.9%)","33 (100%)","76 (100%)","32 (94.1%)","113 (98.3%)","65 (97.0%)"
"  1","2 (5.1%)","0 (0%)","0 (0%)","2 (5.9%)","2 (1.7%)","2 (3.0%)"
"Insulin","","","","","",""
"  0","28 (71.8%)","3 (9.1%)","64 (84.2%)","6 (17.6%)","92 (80.0%)","9 (13.4%)"
"  1","11 (28.2%)","30 (90.9%)","12 (15.8%)","28 (82.4%)","23 (20.0%)","58 (86.6%)"
"Metformin","","","","","",""
"  0","39 (100%)","28 (84.8%)","75 (98.7%)","28 (82.4%)","114 (99.1%)","56 (83.6%)"
"  1","0 (0%)","5 (15.2%)","1 (1.3%)","6 (17.6%)","1 (0.9%)","11 (16.4%)"
"Glimepiride","","","","","",""
"  0","38 (97.4%)","30 (90.9%)","76 (100%)","31 (91.2%)","114 (99.1%)","61 (91.0%)"
"  1","1 (2.6%)","3 (9.1%)","0 (0%)","3 (8.8%)","1 (0.9%)","6 (9.0%)"
"Glipizide","","","","","",""
"  0","39 (100%)","31 (93.9%)","76 (100%)","31 (91.2%)","115 (100%)","62 (92.5%)"
"  1","0 (0%)","2 (6.1%)","0 (0%)","3 (8.8%)","0 (0%)","5 (7.5%)"
"Sitagliptin","","","","","",""
"  0","39 (100%)","30 (90.9%)","76 (100%)","30 (88.2%)","115 (100%)","60 (89.6%)"
"  1","0 (0%)","3 (9.1%)","0 (0%)","4 (11.8%)","0 (0%)","7 (10.4%)"
"Full Dose Anticoagulation","","","","","",""
"  0","14 (35.9%)","6 (18.2%)","15 (19.7%)","5 (14.7%)","29 (25.2%)","11 (16.4%)"
"  1","25 (64.1%)","27 (81.8%)","61 (80.3%)","29 (85.3%)","86 (74.8%)","56 (83.6%)"
"Prophylactic Anticoagulation","","","","","",""
"  0","21 (53.8%)","16 (48.5%)","66 (86.8%)","28 (82.4%)","87 (75.7%)","44 (65.7%)"
"  1","18 (46.2%)","17 (51.5%)","10 (13.2%)","6 (17.6%)","28 (24.3%)","23 (34.3%)"
"HbA1c","","","","","",""
"  Mean (SD)","5.98 (0.911)","8.85 (2.57)","6.21 (0.586)","8.48 (2.48)","6.08 (0.779)","8.66 (2.50)"
"  Median [Min, Max]","5.60 [4.80, 8.80]","8.50 [5.40, 13.1]","6.30 [5.50, 7.50]","7.80 [6.00, 14.3]","5.90 [4.80, 8.80]","7.95 [5.40, 14.3]"
"  Missing","22 (56.4%)","14 (42.4%)","62 (81.6%)","15 (44.1%)","84 (73.0%)","29 (43.3%)"
"Vit_D_level","","","","","",""
"  Mean (SD)","NA (NA)","21.6 (6.94)","83.1 (13.5)","66.2 (73.5)","83.1 (13.5)","48.3 (57.5)"
"  Median [Min, Max]","NA [NA, NA]","21.6 [16.7, 26.5]","88.0 [63.5, 93.0]","36.0 [12.6, 150]","88.0 [63.5, 93.0]","26.5 [12.6, 150]"
"  Missing","39 (100%)","31 (93.9%)","72 (94.7%)","31 (91.2%)","111 (96.5%)","62 (92.5%)"
"ALT","","","","","",""
"  Mean (SD)","22.6 (10.6)","23.3 (31.7)","46.7 (49.6)","73.7 (165)","38.8 (42.5)","48.9 (121)"
"  Median [Min, Max]","20.0 [8.00, 49.0]","15.0 [7.00, 186]","31.0 [8.00, 286]","29.0 [8.00, 915]","27.0 [8.00, 286]","22.0 [7.00, 915]"
"  Missing","3 (7.7%)","1 (3.0%)","3 (3.9%)","1 (2.9%)","6 (5.2%)","2 (3.0%)"
"AST","","","","","",""
"  Mean (SD)","26.3 (20.8)","22.5 (22.0)","55.0 (53.7)","96.6 (241)","45.3 (47.2)","60.1 (175)"
"  Median [Min, Max]","19.5 [11.0, 118]","16.5 [9.00, 134]","39.0 [11.0, 325]","36.0 [14.0, 1350]","32.5 [11.0, 325]","26.0 [9.00, 1350]"
"  Missing","1 (2.6%)","1 (3.0%)","2 (2.6%)","1 (2.9%)","3 (2.6%)","2 (3.0%)"
"hs-CRP","","","","","",""
"  Mean (SD)","0.0400 (NA)","NA (NA)","9.00 (7.31)","9.14 (7.68)","8.44 (7.41)","9.14 (7.68)"
"  Median [Min, Max]","0.0400 [0.0400, 0.0400]","NA [NA, NA]","10.1 [0.118, 23.3]","7.75 [1.55, 25.0]","8.23 [0.0400, 23.3]","7.75 [1.55, 25.0]"
"  Missing","38 (97.4%)","33 (100%)","61 (80.3%)","26 (76.5%)","99 (86.1%)","59 (88.1%)"
"CRP","","","","","",""
"  Mean (SD)","2.45 (2.82)","14.5 (9.31)","9.49 (10.2)","5.15 (3.27)","7.73 (9.35)","9.30 (7.88)"
"  Median [Min, Max]","1.63 [0.0300, 6.52]","14.8 [2.79, 25.5]","5.73 [0.300, 33.1]","5.53 [0.590, 8.74]","3.87 [0.0300, 33.1]","7.54 [0.590, 25.5]"
"  Missing","35 (89.7%)","29 (87.9%)","64 (84.2%)","29 (85.3%)","99 (86.1%)","58 (86.6%)"
"Fibrinogen","","","","","",""
"  Mean (SD)","357 (267)","986 (NA)","539 (156)","539 (113)","532 (161)","561 (147)"
"  Median [Min, Max]","357 [168, 546]","986 [986, 986]","509 [269, 887]","567 [218, 697]","509 [168, 887]","574 [218, 986]"
"  Missing","37 (94.9%)","32 (97.0%)","29 (38.2%)","14 (41.2%)","66 (57.4%)","46 (68.7%)"
"D-Dimer","","","","","",""
"  Mean (SD)","1260 (1380)","1270 (1160)","436 (962)","722 (959)","529 (1040)","777 (973)"
"  Median [Min, Max]","662 [322, 4350]","1010 [267, 2540]","17.6 [0.320, 7290]","559 [0.210, 4330]","322 [0.320, 7290]","577 [0.210, 4330]"
"  Missing","31 (79.5%)","30 (90.9%)","13 (17.1%)","7 (20.6%)","44 (38.3%)","37 (55.2%)"
"ESR","","","","","",""
"  Mean (SD)","25.5 (27.4)","50.3 (29.4)","27.7 (21.3)","43.6 (34.8)","27.3 (21.8)","45.8 (32.4)"
"  Median [Min, Max]","19.5 [3.00, 60.0]","44.5 [22.0, 101]","24.0 [1.00, 80.0]","31.5 [1.00, 115]","24.0 [1.00, 80.0]","37.0 [1.00, 115]"
"  Missing","35 (89.7%)","27 (81.8%)","57 (75.0%)","22 (64.7%)","92 (80.0%)","49 (73.1%)"
"Ferritin","","","","","",""
"  Mean (SD)","214 (234)","691 (928)","1020 (1190)","1490 (2890)","967 (1170)","1310 (2600)"
"  Median [Min, Max]","169 [27.0, 607]","283 [16.1, 2880]","541 [18.7, 5750]","305 [116, 12700]","516 [18.7, 5750]","297 [16.1, 12700]"
"  Missing","34 (87.2%)","24 (72.7%)","6 (7.9%)","2 (5.9%)","40 (34.8%)","26 (38.8%)"
"LDH","","","","","",""
"  Mean (SD)","485 (404)","298 (100)","340 (170)","326 (160)","348 (187)","323 (153)"
"  Median [Min, Max]","325 [209, 1080]","268 [219, 438]","293 [148, 890]","286 [142, 824]","293 [148, 1080]","286 [142, 824]"
"  Missing","35 (89.7%)","29 (87.9%)","6 (7.9%)","3 (8.8%)","41 (35.7%)","32 (47.8%)"
"Lactic Acid","","","","","",""
"  Mean (SD)","1.99 (1.76)","2.26 (1.77)","5.86 (21.4)","9.33 (30.8)","4.79 (18.2)","6.30 (23.4)"
"  Median [Min, Max]","1.70 [0.700, 8.50]","1.65 [1.00, 7.50]","1.30 [0.700, 118]","1.60 [0.800, 150]","1.40 [0.700, 118]","1.60 [0.800, 150]"
"  Missing","21 (53.8%)","15 (45.5%)","29 (38.2%)","10 (29.4%)","50 (43.5%)","25 (37.3%)"
"PCT","","","","","",""
"  Mean (SD)","0.944 (2.00)","3.04 (5.76)","0.932 (4.02)","0.430 (0.953)","0.933 (3.84)","1.25 (3.46)"
"  Median [Min, Max]","0.157 [0.0340, 5.02]","0.474 [0.0510, 18.9]","0.130 [0.0400, 27.7]","0.160 [0.0300, 4.65]","0.130 [0.0340, 27.7]","0.190 [0.0300, 18.9]"
"  Missing","33 (84.6%)","21 (63.6%)","27 (35.5%)","8 (23.5%)","60 (52.2%)","29 (43.3%)"
"Glucose Lvl","","","","","",""
"  Mean (SD)","122 (34.9)","226 (107)","118 (26.1)","204 (96.2)","120 (29.3)","215 (101)"
"  Median [Min, Max]","110 [82.0, 215]","198 [97.0, 515]","112 [84.0, 257]","173 [111, 498]","112 [82.0, 257]","189 [97.0, 515]"
"  Missing","0 (0%)","1 (3.0%)","1 (1.3%)","1 (2.9%)","1 (0.9%)","2 (3.0%)"
"Screat","","","","","",""
"  Mean (SD)","1.15 (0.892)","1.41 (0.945)","2.39 (9.78)","1.96 (3.22)","1.96 (7.95)","1.69 (2.39)"
"  Median [Min, Max]","0.843 [0.429, 5.06]","1.07 [0.484, 3.84]","0.850 [0.290, 82.0]","0.860 [0.500, 18.0]","0.850 [0.290, 82.0]","0.960 [0.484, 18.0]"
"  Missing","0 (0%)","1 (3.0%)","1 (1.3%)","1 (2.9%)","1 (0.9%)","2 (3.0%)"
"Hyperlipidemia","","","","","",""
"  0","15 (38.5%)","10 (30.3%)","53 (69.7%)","8 (23.5%)","68 (59.1%)","18 (26.9%)"
"  1","24 (61.5%)","23 (69.7%)","23 (30.3%)","26 (76.5%)","47 (40.9%)","49 (73.1%)"
"# Metabolic Syndrome Criteria","","","","","",""
"  0","11 (28.2%)","0 (0%)","22 (28.9%)","0 (0%)","33 (28.7%)","0 (0%)"
"  1","6 (15.4%)","3 (9.1%)","19 (25.0%)","2 (5.9%)","25 (21.7%)","5 (7.5%)"
"  2","22 (56.4%)","10 (30.3%)","23 (30.3%)","3 (8.8%)","45 (39.1%)","13 (19.4%)"
"  3","0 (0%)","19 (57.6%)","9 (11.8%)","15 (44.1%)","9 (7.8%)","34 (50.7%)"
"  4","0 (0%)","1 (3.0%)","3 (3.9%)","14 (41.2%)","3 (2.6%)","15 (22.4%)"
"WHO-OSCI D1","","","","","",""
"  0","0 (0%)","0 (0%)","2 (2.6%)","1 (2.9%)","2 (1.7%)","1 (1.5%)"
"  1","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  2","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  3","0 (0%)","0 (0%)","5 (6.6%)","3 (8.8%)","5 (4.3%)","3 (4.5%)"
"  4","0 (0%)","0 (0%)","16 (21.1%)","6 (17.6%)","16 (13.9%)","6 (9.0%)"
"  5","0 (0%)","0 (0%)","45 (59.2%)","19 (55.9%)","45 (39.1%)","19 (28.4%)"
"  6","0 (0%)","0 (0%)","8 (10.5%)","5 (14.7%)","8 (7.0%)","5 (7.5%)"
"  7","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","39 (100%)","33 (100%)","0 (0%)","0 (0%)","39 (33.9%)","33 (49.3%)"
"WHO-OSCI D3","","","","","",""
"  0","0 (0%)","0 (0%)","1 (1.3%)","1 (2.9%)","1 (0.9%)","1 (1.5%)"
"  1","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  2","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  3","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
